"Timestamp  in Local time"	"Soil Moisture ID: 2662[%VWC] @2359-1 MS:Sensor is not configured"	"Soil Moisture ID: 2665[%VWC] @2360-1 MS:Sensor is not configured"	"Soil Moisture ID: 2663[%VWC] @2361-1 MS:Sensor is not configured"	"Soil Moisture ID: 2658[%VWC] @2363-1 MS:Sensor is not configured"	"Soil Moisture ID: 2647[%VWC] @2364-1 MS:Sensor is not configured"	"Soil Moisture ID: 2654[%VWC] @2369-1 MS:Sensor is not configured"	"Soil Moisture ID: 2666[%VWC] @2376-1 MS:Sensor is not configured"	"Soil Moisture ID: 2650[%VWC] @2380-1 MS:Sensor is not configured"
"2024-01-17 02:52:44"	""	""	""	"2.20"	""	""	""	""
"2024-01-17 02:53:16"	""	""	""	""	"4.86"	""	""	""
"2024-01-17 02:53:51"	""	""	"4.42"	""	""	""	""	""
"2024-01-17 02:54:19"	""	""	""	""	""	"4.96"	""	""
"2024-01-17 02:55:50"	""	""	""	""	""	""	"4.93"	""
"2024-01-17 02:56:18"	""	""	""	""	""	""	""	"4.13"
"2024-01-17 02:56:54"	"7.16"	""	""	""	""	""	""	""
"2024-01-17 02:57:29"	""	"6.62"	""	""	""	""	""	""
"2024-01-17 02:57:42"	""	""	""	"2.20"	""	""	""	""
"2024-01-17 02:58:16"	""	""	""	""	"4.93"	""	""	""
"2024-01-17 02:58:51"	""	""	"4.44"	""	""	""	""	""
"2024-01-17 02:59:19"	""	""	""	""	""	"4.98"	""	""
"2024-01-17 03:00:50"	""	""	""	""	""	""	"4.93"	""
"2024-01-17 03:01:18"	""	""	""	""	""	""	""	"4.13"
"2024-01-17 03:01:54"	"7.16"	""	""	""	""	""	""	""
"2024-01-17 03:02:29"	""	"6.62"	""	""	""	""	""	""
"2024-01-17 03:02:42"	""	""	""	"2.17"	""	""	""	""
"2024-01-17 03:03:16"	""	""	""	""	"4.93"	""	""	""
"2024-01-17 03:03:51"	""	""	"4.49"	""	""	""	""	""
